onset	duration	trial_type
5.502441	0.0	MU_00
6.034668	0.0	MU_01
6.065918	0.0	MU_02
6.115723	0.0	MU_02
6.224121	0.0	MU_02
6.730957	0.0	MU_01
6.736328	0.0	MU_00
6.786133	0.0	MU_00
6.864746	0.0	MU_04
6.914551	0.0	MU_04
7.105957	0.0	MU_03
7.352539	0.0	MU_01
7.401367	0.0	MU_06
7.760742	0.0	MU_04
7.763184	0.0	MU_05
7.814453	0.0	MU_02
7.831543	0.0	MU_03
8.026855	0.0	MU_05
8.086914	0.0	MU_03
8.088379	0.0	MU_04
8.120605	0.0	MU_05
8.17041	0.0	MU_05
8.211426	0.0	MU_00
8.387207	0.0	MU_06
8.592285	0.0	MU_07
8.692383	0.0	MU_03
8.728516	0.0	MU_07
8.79834	0.0	MU_01
8.8125	0.0	MU_06
8.820801	0.0	MU_04
8.84375	0.0	MU_00
8.857422	0.0	MU_05
8.899414	0.0	MU_03
8.907227	0.0	MU_05
8.975098	0.0	MU_03
9.042969	0.0	MU_09
9.077637	0.0	MU_04
9.089844	0.0	MU_08
9.166992	0.0	MU_01
9.203613	0.0	MU_05
9.284668	0.0	MU_03
9.331543	0.0	MU_05
9.441406	0.0	MU_08
9.512695	0.0	MU_05
9.658203	0.0	MU_05
9.735352	0.0	MU_06
9.821289	0.0	MU_00
9.856445	0.0	MU_09
9.857422	0.0	MU_03
9.871094	0.0	MU_00
9.968262	0.0	MU_07
10.020508	0.0	MU_00
10.051758	0.0	MU_09
10.0625	0.0	MU_06
10.064941	0.0	MU_03
10.100586	0.0	MU_07
10.206543	0.0	MU_06
10.31543	0.0	MU_01
10.375977	0.0	MU_03
10.397461	0.0	MU_09
10.450195	0.0	MU_00
10.544434	0.0	MU_05
10.571289	0.0	MU_04
10.617188	0.0	MU_00
10.621094	0.0	MU_04
10.665527	0.0	MU_02
10.748047	0.0	MU_04
10.797852	0.0	MU_04
10.866699	0.0	MU_07
10.873047	0.0	MU_05
10.887207	0.0	MU_01
10.911621	0.0	MU_03
10.968262	0.0	MU_07
10.976074	0.0	MU_08
10.985352	0.0	MU_09
11.083008	0.0	MU_03
11.108398	0.0	MU_06
11.183594	0.0	MU_00
11.213867	0.0	MU_01
11.379395	0.0	MU_09
11.398926	0.0	MU_05
11.431641	0.0	MU_01
11.467773	0.0	MU_02
11.477539	0.0	MU_03
11.527344	0.0	MU_03
11.534668	0.0	MU_09
11.567383	0.0	MU_01
11.581055	0.0	MU_07
11.583496	0.0	MU_03
11.599121	0.0	MU_05
11.696777	0.0	MU_07
11.775391	0.0	MU_07
11.839844	0.0	MU_05
11.902344	0.0	MU_05
11.907227	0.0	MU_03
11.956055	0.0	MU_06
11.989258	0.0	MU_09
12.09668	0.0	MU_02
12.111816	0.0	MU_01
12.130859	0.0	MU_05
12.186035	0.0	MU_03
12.282227	0.0	MU_09
12.287598	0.0	MU_05
12.312988	0.0	MU_01
12.333984	0.0	MU_07
12.349121	0.0	MU_06
12.472656	0.0	MU_06
12.479004	0.0	MU_09
12.528809	0.0	MU_09
12.59375	0.0	MU_07
12.737305	0.0	MU_05
12.75	0.0	MU_00
12.797852	0.0	MU_09
12.799805	0.0	MU_00
12.823242	0.0	MU_06
12.82959	0.0	MU_03
12.842773	0.0	MU_07
12.855957	0.0	MU_01
12.871582	0.0	MU_09
12.956055	0.0	MU_08
13.156738	0.0	MU_04
13.206543	0.0	MU_04
13.280273	0.0	MU_06
13.380371	0.0	MU_05
13.436523	0.0	MU_09
13.512207	0.0	MU_00
13.548828	0.0	MU_03
13.581543	0.0	MU_07
13.740723	0.0	MU_01
13.989258	0.0	MU_07
14.033691	0.0	MU_09
14.04834	0.0	MU_00
14.057129	0.0	MU_06
14.083496	0.0	MU_09
14.147461	0.0	MU_05
14.150879	0.0	MU_04
14.166016	0.0	MU_06
14.21582	0.0	MU_06
14.250488	0.0	MU_00
14.380859	0.0	MU_01
14.381836	0.0	MU_02
14.538574	0.0	MU_03
14.588379	0.0	MU_03
14.621582	0.0	MU_02
14.650391	0.0	MU_05
14.720215	0.0	MU_09
14.728516	0.0	MU_00
14.76123	0.0	MU_02
14.764648	0.0	MU_04
14.814453	0.0	MU_04
14.873535	0.0	MU_04
14.992188	0.0	MU_07
15.063965	0.0	MU_01
15.097656	0.0	MU_03
15.101562	0.0	MU_02
15.147461	0.0	MU_03
15.166504	0.0	MU_08
15.267578	0.0	MU_09
15.322266	0.0	MU_04
15.356934	0.0	MU_09
15.536621	0.0	MU_01
15.555664	0.0	MU_05
15.600586	0.0	MU_00
15.63916	0.0	MU_07
15.74707	0.0	MU_04
15.832031	0.0	MU_08
15.855469	0.0	MU_07
15.890137	0.0	MU_06
15.898438	0.0	MU_02
15.978516	0.0	MU_09
16.127441	0.0	MU_07
16.162109	0.0	MU_04
16.177246	0.0	MU_07
16.201172	0.0	MU_09
16.294434	0.0	MU_01
16.301758	0.0	MU_05
16.404785	0.0	MU_03
16.414551	0.0	MU_00
16.417969	0.0	MU_08
16.464355	0.0	MU_00
16.467773	0.0	MU_08
16.512695	0.0	MU_06
16.58252	0.0	MU_00
16.618164	0.0	MU_04
16.641602	0.0	MU_00
16.666504	0.0	MU_02
16.807617	0.0	MU_08
16.845215	0.0	MU_07
17.108398	0.0	MU_04
17.210938	0.0	MU_08
17.329102	0.0	MU_05
17.35791	0.0	MU_08
17.515137	0.0	MU_08
17.548828	0.0	MU_07
17.621582	0.0	MU_01
17.723145	0.0	MU_04
17.729492	0.0	MU_01
17.770996	0.0	MU_03
17.783203	0.0	MU_07
17.789551	0.0	MU_02
17.833008	0.0	MU_07
17.922363	0.0	MU_09
17.953613	0.0	MU_00
18.03418	0.0	MU_06
18.12793	0.0	MU_02
18.187988	0.0	MU_02
18.286621	0.0	MU_03
18.298828	0.0	MU_06
18.405273	0.0	MU_01
18.455078	0.0	MU_01
18.504883	0.0	MU_01
18.536621	0.0	MU_00
18.561523	0.0	MU_05
18.630859	0.0	MU_00
18.750977	0.0	MU_05
18.844238	0.0	MU_05
18.887695	0.0	MU_06
19.043945	0.0	MU_06
19.118164	0.0	MU_07
19.12207	0.0	MU_00
19.127441	0.0	MU_04
19.228516	0.0	MU_04
19.234375	0.0	MU_06
19.245605	0.0	MU_05
19.28418	0.0	MU_01
19.288574	0.0	MU_03
19.296875	0.0	MU_02
19.33252	0.0	MU_05
19.369629	0.0	MU_07
19.456543	0.0	MU_01
19.458008	0.0	MU_08
19.472656	0.0	MU_03
19.483398	0.0	MU_07
19.490234	0.0	MU_04
19.506348	0.0	MU_01
19.549805	0.0	MU_06
19.600586	0.0	MU_03
19.600586	0.0	MU_09
19.659668	0.0	MU_06
19.671387	0.0	MU_03
19.748535	0.0	MU_01
19.759277	0.0	MU_08
19.841309	0.0	MU_04
19.98584	0.0	MU_05
20.029785	0.0	MU_00
20.087891	0.0	MU_07
20.220215	0.0	MU_00
20.270508	0.0	MU_03
20.271973	0.0	MU_08
20.29248	0.0	MU_00
20.394043	0.0	MU_02
20.458984	0.0	MU_00
20.475586	0.0	MU_08
20.555176	0.0	MU_07
20.557129	0.0	MU_04
20.569824	0.0	MU_05
20.653809	0.0	MU_09
20.679688	0.0	MU_05
20.699219	0.0	MU_08
20.705078	0.0	MU_01
20.750977	0.0	MU_04
20.771973	0.0	MU_02
20.808105	0.0	MU_07
20.844238	0.0	MU_01
20.876465	0.0	MU_09
20.929199	0.0	MU_06
20.967285	0.0	MU_01
20.986816	0.0	MU_08
21.012695	0.0	MU_00
21.060547	0.0	MU_06
21.09375	0.0	MU_01
21.113281	0.0	MU_00
21.163574	0.0	MU_04
21.226562	0.0	MU_02
21.250977	0.0	MU_06
21.290039	0.0	MU_08
21.300781	0.0	MU_06
21.345703	0.0	MU_00
21.432617	0.0	MU_09
21.540039	0.0	MU_01
21.705566	0.0	MU_06
21.925781	0.0	MU_00
21.945801	0.0	MU_09
21.950195	0.0	MU_08
22.03125	0.0	MU_07
22.097656	0.0	MU_07
22.123535	0.0	MU_01
22.135254	0.0	MU_00
22.157227	0.0	MU_06
22.190918	0.0	MU_09
22.197754	0.0	MU_00
22.21582	0.0	MU_02
22.228516	0.0	MU_08
22.34082	0.0	MU_01
22.355957	0.0	MU_03
22.370117	0.0	MU_00
22.381348	0.0	MU_09
22.427734	0.0	MU_00
22.432617	0.0	MU_02
22.477539	0.0	MU_00
22.527344	0.0	MU_00
22.679199	0.0	MU_02
22.702148	0.0	MU_05
22.812012	0.0	MU_07
22.882324	0.0	MU_03
22.964355	0.0	MU_03
23.060547	0.0	MU_03
23.110352	0.0	MU_03
23.231934	0.0	MU_05
23.281738	0.0	MU_05
23.334961	0.0	MU_08
23.404297	0.0	MU_00
23.490234	0.0	MU_05
23.543457	0.0	MU_00
23.632812	0.0	MU_09
23.659668	0.0	MU_02
23.664062	0.0	MU_06
23.73584	0.0	MU_00
23.749512	0.0	MU_08
23.756348	0.0	MU_04
23.805664	0.0	MU_01
23.855469	0.0	MU_01
23.883789	0.0	MU_02
23.892578	0.0	MU_09
23.993164	0.0	MU_05
24.086426	0.0	MU_03
24.125977	0.0	MU_04
24.132812	0.0	MU_08
24.205566	0.0	MU_04
24.272949	0.0	MU_03
24.276855	0.0	MU_04
24.285645	0.0	MU_09
24.297363	0.0	MU_06
24.304688	0.0	MU_01
24.428711	0.0	MU_09
24.474609	0.0	MU_03
24.491211	0.0	MU_06
24.598633	0.0	MU_08
24.64502	0.0	MU_05
24.714844	0.0	MU_08
24.729004	0.0	MU_06
24.774902	0.0	MU_02
24.908203	0.0	MU_05
24.925293	0.0	MU_00
24.939941	0.0	MU_01
25.032715	0.0	MU_01
25.11377	0.0	MU_06
25.128418	0.0	MU_07
25.163574	0.0	MU_06
25.222168	0.0	MU_03
25.259766	0.0	MU_06
25.338867	0.0	MU_05
25.389648	0.0	MU_06
25.407715	0.0	MU_04
25.508789	0.0	MU_03
25.58252	0.0	MU_04
25.698242	0.0	MU_00
25.701172	0.0	MU_04
25.761719	0.0	MU_02
25.773926	0.0	MU_07
25.778809	0.0	MU_05
25.811523	0.0	MU_02
25.814941	0.0	MU_08
25.875488	0.0	MU_06
25.915527	0.0	MU_01
25.925293	0.0	MU_06
25.980469	0.0	MU_07
26.066895	0.0	MU_00
26.199219	0.0	MU_08
26.249023	0.0	MU_08
26.296387	0.0	MU_01
26.305664	0.0	MU_00
26.312988	0.0	MU_05
26.34375	0.0	MU_06
26.403809	0.0	MU_04
26.480957	0.0	MU_09
26.565918	0.0	MU_05
26.609375	0.0	MU_08
26.645996	0.0	MU_00
26.830078	0.0	MU_03
26.879395	0.0	MU_02
26.98291	0.0	MU_03
26.990723	0.0	MU_07
27.037598	0.0	MU_05
27.04834	0.0	MU_03
27.07666	0.0	MU_04
27.252441	0.0	MU_00
27.282715	0.0	MU_01
27.370117	0.0	MU_05
27.404297	0.0	MU_04
27.413574	0.0	MU_09
27.472656	0.0	MU_03
27.522949	0.0	MU_09
27.576172	0.0	MU_08
27.579102	0.0	MU_02
27.665527	0.0	MU_09
27.715332	0.0	MU_09
27.748535	0.0	MU_04
27.800781	0.0	MU_07
27.804199	0.0	MU_01
27.81543	0.0	MU_02
27.862305	0.0	MU_07
27.893555	0.0	MU_02
27.912109	0.0	MU_07
27.919922	0.0	MU_06
27.929199	0.0	MU_00
27.935547	0.0	MU_08
27.961914	0.0	MU_07
27.979004	0.0	MU_00
27.994629	0.0	MU_02
28.025879	0.0	MU_05
28.109863	0.0	MU_06
28.155762	0.0	MU_05
28.211426	0.0	MU_00
28.232422	0.0	MU_06
28.246094	0.0	MU_07
28.278809	0.0	MU_02
28.328613	0.0	MU_06
28.387207	0.0	MU_02
28.435547	0.0	MU_03
28.439941	0.0	MU_09
28.485352	0.0	MU_03
28.489258	0.0	MU_05
28.510254	0.0	MU_08
28.539062	0.0	MU_05
28.647461	0.0	MU_01
28.649902	0.0	MU_02
28.724121	0.0	MU_07
28.728027	0.0	MU_02
28.798828	0.0	MU_00
28.799805	0.0	MU_07
28.859375	0.0	MU_09
28.902832	0.0	MU_07
28.974121	0.0	MU_07
28.982422	0.0	MU_09
28.998047	0.0	MU_00
29.009766	0.0	MU_04
29.023926	0.0	MU_07
29.032227	0.0	MU_08
29.083496	0.0	MU_07
29.096191	0.0	MU_00
29.104004	0.0	MU_09
29.116211	0.0	MU_03
29.133301	0.0	MU_07
29.146973	0.0	MU_00
29.184082	0.0	MU_02
29.233887	0.0	MU_02
29.286621	0.0	MU_06
29.329102	0.0	MU_08
29.334961	0.0	MU_04
29.384766	0.0	MU_04
29.553711	0.0	MU_02
29.575195	0.0	MU_03
29.576172	0.0	MU_07
29.58252	0.0	MU_00
